dataset,autoencoder,manifold,ae_params,manifold_params,time_fit_s,time_transform_s,trustworthiness_train,trustworthiness_test
MNIST,LinearAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128}",{'n_components': 2},13.042797803878784,0.3248145580291748,0.9789346422703095,0.8827194514982224
MNIST,LinearAutoencoder,LocallyLinearEmbedding,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128}","{'n_components': 2, 'n_neighbors': 30}",12.363382339477539,0.32735252380371094,0.6179709332442143,0.6564537328593194
MNIST,LinearSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001}",{'n_components': 2},11.650749921798706,0.3458709716796875,0.9801332386442755,0.9085146775012697
MNIST,LinearSparseAutoencoder,LocallyLinearEmbedding,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001}","{'n_components': 2, 'n_neighbors': 30}",13.88289737701416,0.3426473140716553,0.5803194363216087,0.6132634840020315
MNIST,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.2}",{'n_components': 2},12.079800605773926,0.34734249114990234,0.9808348678530648,0.8950664296597257
MNIST,DenoisingSparseAutoencoder,LocallyLinearEmbedding,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.2}","{'n_components': 2, 'n_neighbors': 30}",13.036101818084717,0.3470785617828369,0.6315230929902247,0.6794873539867954
FashionMNIST,LinearAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128}",{'n_components': 2},11.541788339614868,0.3352959156036377,0.9881103322471941,0.964189029964449
FashionMNIST,LinearAutoencoder,LocallyLinearEmbedding,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128}","{'n_components': 2, 'n_neighbors': 30}",6.919699192047119,0.348844051361084,0.6805206951290834,0.7100732351447435
FashionMNIST,LinearSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001}",{'n_components': 2},12.383387088775635,0.3555581569671631,0.985865516473111,0.9549360081259523
FashionMNIST,LinearSparseAutoencoder,LocallyLinearEmbedding,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001}","{'n_components': 2, 'n_neighbors': 30}",7.38254976272583,0.3392510414123535,0.7319011139889158,0.7520902996444896
FashionMNIST,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.2}",{'n_components': 2},11.829227924346924,0.3581421375274658,0.986555693875846,0.9489714575926866
FashionMNIST,DenoisingSparseAutoencoder,LocallyLinearEmbedding,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.2}","{'n_components': 2, 'n_neighbors': 30}",7.307416200637817,0.3375515937805176,0.7764374021778483,0.7939706449974606
