dataset,autoencoder,manifold,ae_params,manifold_params,time_fit_s,time_transform_s,trustworthiness_train,trustworthiness_test
MNIST,LinearSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.0001}","{'n_components': 2, 'perplexity': 30}",71.02493357658386,8.044952630996704,0.9908522902388456,0.9218829090179557
MNIST,LinearSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001}","{'n_components': 2, 'perplexity': 30}",66.51028156280518,8.065092325210571,0.9895167782243047,0.9219466586417895
MNIST,LinearSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.01}","{'n_components': 2, 'perplexity': 30}",72.60749506950378,7.804054021835327,0.9906415207857393,0.9223323021366235
MNIST,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.1}","{'n_components': 2, 'perplexity': 30}",69.73205542564392,7.7792463302612305,0.9902230875952576,0.9228719550606881
MNIST,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.3}","{'n_components': 2, 'perplexity': 30}",69.3555166721344,7.8135247230529785,0.9901152423196429,0.9205394924265222
MNIST,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.5}","{'n_components': 2, 'perplexity': 30}",68.85577750205994,7.803038835525513,0.9903067498207407,0.9230861992175745
FashionMNIST,LinearSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.0001}","{'n_components': 2, 'perplexity': 30}",67.21873998641968,7.80227255821228,0.9916349727359135,0.9541823171832682
FashionMNIST,LinearSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001}","{'n_components': 2, 'perplexity': 30}",66.36922097206116,7.8267364501953125,0.9901425674376205,0.9521830875714715
FashionMNIST,LinearSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.01}","{'n_components': 2, 'perplexity': 30}",67.40475964546204,7.7465643882751465,0.9896398110134681,0.9544552793660347
FashionMNIST,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.1}","{'n_components': 2, 'perplexity': 30}",67.10509061813354,7.7720301151275635,0.9909558566370402,0.9490629471361219
FashionMNIST,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.3}","{'n_components': 2, 'perplexity': 30}",66.62451529502869,7.758651256561279,0.9915341076222715,0.9576003290199618
FashionMNIST,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 784, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.5}","{'n_components': 2, 'perplexity': 30}",67.74398159980774,7.997841119766235,0.9920917978733457,0.9610789527535359
Cifar10,LinearSparseAutoencoder,TSNE,"{'input_dim': 3072, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.0001}","{'n_components': 2, 'perplexity': 30}",69.11667275428772,6.506004095077515,0.9322498513878604,0.7865086568361922
Cifar10,LinearSparseAutoencoder,TSNE,"{'input_dim': 3072, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001}","{'n_components': 2, 'perplexity': 30}",67.89786148071289,6.477848291397095,0.9240299742640437,0.7621962242953154
Cifar10,LinearSparseAutoencoder,TSNE,"{'input_dim': 3072, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.01}","{'n_components': 2, 'perplexity': 30}",85.69977855682373,6.739563226699829,0.9361496093978267,0.79302214464841
Cifar10,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 3072, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.1}","{'n_components': 2, 'perplexity': 30}",68.8075692653656,6.749492645263672,0.9176824347895696,0.7566097341759455
Cifar10,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 3072, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.3}","{'n_components': 2, 'perplexity': 30}",69.64289879798889,6.455814838409424,0.9138443782345054,0.7608451038218477
Cifar10,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 3072, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.5}","{'n_components': 2, 'perplexity': 30}",79.87319135665894,6.694371223449707,0.9219866179431248,0.7698088394021466
GlassIdentification,LinearSparseAutoencoder,TSNE,"{'input_dim': 9, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.0001}","{'n_components': 2, 'perplexity': 30}",0.22294092178344727,0.001726388931274414,0.9247397376216674,0.7705627705627706
GlassIdentification,LinearSparseAutoencoder,TSNE,"{'input_dim': 9, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001}","{'n_components': 2, 'perplexity': 30}",0.16480135917663574,0.0015559196472167969,0.906322471434617,0.7826839826839826
GlassIdentification,LinearSparseAutoencoder,TSNE,"{'input_dim': 9, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.01}","{'n_components': 2, 'perplexity': 30}",0.1920485496520996,0.0015609264373779297,0.9082860770207364,0.8051948051948052
GlassIdentification,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 9, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.1}","{'n_components': 2, 'perplexity': 30}",0.1589648723602295,0.0015935897827148438,0.9166314007617435,0.6891774891774891
GlassIdentification,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 9, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.3}","{'n_components': 2, 'perplexity': 30}",0.18447113037109375,0.0021283626556396484,0.9170884468895472,0.8017316017316017
GlassIdentification,DenoisingSparseAutoencoder,TSNE,"{'input_dim': 9, 'epochs': 50, 'batch_size': 128, 'lambda_sparse': 0.001, 'noise_factor': 0.5}","{'n_components': 2, 'perplexity': 30}",0.15927791595458984,0.0012919902801513672,0.8966567922132882,0.7073593073593074
